timestamp;ratio_now;ratio_m1;ratio_m2;ratio_m3;ratio_m4;basket_mid;comps_mid;choco_mid;straw_mid;roses_mid
0;1.00572;0;0;0;0;70598.5;70196.5;7889;4036.5;14421.5
100;1.0059;1.00596;0;0;0;70615.5;70201;7889.5;4036.5;14424
200;1.00585;1.00593;1.00599;0;0;70617.5;70206.5;7890.5;4037;14422.5
300;1.00586;1.00582;1.0059;1.00596;0;70615.5;70203.5;7890;4037;14421.5
400;1.00606;1.00606;1.00602;1.0061;1.00616;70629.5;70204;7890;4037;14422
500;1.00618;1.00617;1.00618;1.00613;1.00621;70637.5;70203.5;7889;4037.5;14422.5
600;1.00623;1.00622;1.00621;1.00622;1.00618;70640.5;70203;7889;4037.5;14422
700;1.00618;1.0062;1.00619;1.00618;1.00619;70638.5;70204.5;7889;4037.5;14423.5
800;1.00617;1.00627;1.00629;1.00628;1.00628;70645;70211.5;7890;4037.5;14426.5
900;1.00621;1.00619;1.00629;1.00631;1.00631;70646.5;70210;7889;4037.5;14429
1000;1.00642;1.00647;1.00645;1.00655;1.00657;70664.5;70213.5;7891;4037;14427.5
1100;1.00631;1.00625;1.0063;1.00628;1.00638;70653;70209.5;7892;4036.5;14422.5
1200;1.0063;1.00633;1.00628;1.00633;1.0063;70654.5;70212;7892.5;4036.5;14423
1300;1.00613;1.00592;1.00596;1.0059;1.00595;70628;70197.5;7891.5;4036;14415.5
1400;1.00619;1.00611;1.0059;1.00593;1.00588;70626.5;70191.5;7889.5;4036;14417.5
1500;1.00618;1.00626;1.00618;1.00597;1.00601;70631.5;70197;7890.5;4036;14419
1600;1.00622;1.00633;1.00641;1.00632;1.00611;70641.5;70204.5;7892.5;4036.5;14415.5
1700;1.00625;1.00631;1.00641;1.00649;1.00641;70647.5;70208.5;7893;4036.5;14417.5
1800;1.00611;1.00605;1.00611;1.00621;1.00629;70633.5;70204.5;7892.5;4036.5;14415.5
1900;1.00612;1.00618;1.00612;1.00618;1.00628;70638.5;70208.5;7892;4037;14418.5
2000;1.00605;1.00596;1.00602;1.00596;1.00602;70627.5;70202.5;7891;4037;14416.5
2100;1.00608;1.00608;1.00599;1.00605;1.00599;70629.5;70202.5;7891.5;4037;14414.5
2200;1.00616;1.00609;1.00609;1.00601;1.00606;70630.5;70197.5;7890;4037.5;14412.5
