TRACKING_LOG STARFRUIT FLAT [5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5028]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025, 5025, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5028, 5024, 5025, 5025, 5027, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5027, 5025, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5027, 5025, 5027, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5027, 5025, 5027, 5025, 5025, 5024]
TRACKING_LOG STARFRUIT DOWN [5027, 5025, 5027, 5025, 5025, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5027, 5025, 5025, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5027, 5025, 5025, 5024, 5025, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5024, 5025, 5025, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5024, 5025, 5025, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5024, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5024, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT UP [5025, 5024, 5025, 5025, 5025, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5025, 5025, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5027, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5027, 5025, 5025, 5024]
